location,shift,weekDay,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,app,volume,bright,ring_mode
0,9,3,5,0,4,1,0,0,0,0,1,1,1,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,1,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,0,0,0,0,0,1,0,2,0,12,0
0,9,3,1,0,4,0,0,0,0,0,1,0,2,0,12,0
0,9,3,2,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,4,0,4,0,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,4,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,4,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,0,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,2,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,2,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,2,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,2,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,6,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,5,0,4,1,0,0,0,0,1,1,14,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,1,2,0,12,0
0,9,3,1,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,4,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,0,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,9,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
0,10,3,3,0,5,1,0,0,0,0,1,0,2,0,12,0
